9100,11000
37dc0,145000
9dc0,277000
9e00,427000
345c0,583000
34e40,719000
35000,857000
359c0,995000
9e40,1135000
9e80,1295000
35a80,1435000
35a40,1589000
34e80,1723000
a040,1879000
a080,2021000
a200,2161000
35c80,2311000
34ec0,2521000
35a00,2719000
35ac0,2873000
34f00,3007000
34f40,3233000
35b40,3397000
35b80,3603000
34f80,3775000
9ec0,3923000
34e80,4065000
34ec0,4111000
9f00,4181000
34f00,4323000
34f40,4387000
9f40,4439000
9f80,4619000
35b00,4753000
9fc0,4903000
a0c0,5053000
a100,5241000
8b00,5407000
a140,5555000
347c0,5689000
8b40,5879000
34800,6017000
8b80,6233000
34880,6441000
8bc0,6581000
348c0,6733000
34900,6895000
8c00,7049000
34940,7219000
8c40,7399000
34980,7543000
349c0,7741000
8c80,7885000
34a00,8037000
34a40,8199000
8cc0,8353000
34a80,8495000
34ac0,8693000
8d00,8841000
34b00,8999000
34b40,9207000
8d40,9347000
8d80,9555000
34b80,9703000
34bc0,9869000
34c00,10035000
8dc0,10197000
34c40,10341000
34c80,10517000
34cc0,10683000
8e00,10827000
8e40,11049000
34d00,11191000
34d40,11389000
8e80,11551000
34d80,11699000
34dc0,11907000
8ec0,12061000
34e00,12227000
34e40,12403000
35b80,12453000
a180,12493000
85c0,12665000
a1c0,12809000
a240,12991000
8f00,13133000
34fc0,13267000
8580,13453000
8540,13697000
35000,13885000
8f40,13941000
8740,14113000
8780,14257000
84c0,14491000
8640,14735000
8f80,14951000
86c0,15237000
35040,15425000
8fc0,15679000
9fc0,15847000
35d00,15889000
37d80,16067000
15080,16199000
35c80,16345000
150c0,16379000
83c0,16529000
35cc0,16679000
15100,16869000
a000,17019000
35d40,17203000
24700,17353000
37d40,17501000
37e00,17669000
34600,17817000
36100,17975000
24740,18109000
37e40,18263000
34680,18407000
37d00,18555000
24780,18693000
34780,18861000
37cc0,19005000
247c0,19155000
34640,19333000
24800,19481000
2c880,19637000
248c0,19775000
24900,19925000
2c840,20085000
249c0,20233000
24a00,20415000
24a40,20567000
24980,20721000
37e80,20883000
2c800,21043000
24a80,21205000
24840,21353000
37ec0,21553000
37f00,21811000
24940,22017000
37f40,22213000
24880,22479000
34640,22621000
34780,22701000
22040,22767000
37c80,22927000
22080,23097000
22180,23241000
25f40,23419000
24ac0,23615000
346c0,23747000
24c40,23895000
24c80,24039000
24e40,24181000
24340,24341000
243c0,24481000
24400,24655000
24500,24795000
24b00,24959000
24b40,25139000
34700,25273000
225c0,25427000
22600,25591000
22640,25753000
34d00,26061000
24b80,26143000
24bc0,26407000
24c00,26713000
2ae00,26867000
2ae40,27035000
37f80,27183000
25f80,27357000
360c0,27539000
25fc0,27691000
34e40,27857000
a5c0,27933000
a600,28123000
35fc0,28277000
37b00,28429000
a640,28597000
35f80,28743000
37b40,28911000
35f40,29065000
a680,29201000
37ac0,29379000
253c0,29521000
25400,29671000
a6c0,29823000
a700,29977000
34500,30113000
ad00,30285000
15200,30437000
37a80,30597000
37a40,30765000
15240,30903000
155c0,31049000
15280,31225000
90c0,31369000
255c0,31527000
9080,31689000
25480,31827000
254c0,31989000
25540,32121000
34600,32263000
25580,32305000
360c0,32439000
36180,32555000
36440,32701000
152c0,32843000
361c0,32975000
2b380,33113000
2b3c0,33275000
2d340,33417000
36700,33565000
36480,33743000
15300,33879000
36480,34025000
15500,34073000
36540,34221000
15340,34387000
36600,34545000
36640,34721000
36680,34913000
366c0,35105000
15380,35301000
36500,35443000
15540,35627000
153c0,35775000
364c0,35925000
154c0,36083000
ad40,36269000
36400,36415000
15140,36579000
15180,36735000
9140,36909000
35980,37057000
151c0,37229000
ad80,37461000
30d00,37617000
adc0,37803000
40,37987000
ae00,38137000
2c040,38291000
b800,38439000
b700,38631000
80,38791000
36040,38955000
b740,39101000
b780,39283000
c0,39429000
b7c0,39589000
100,39841000
140,40097000
180,40349000
36180,40557000
36180,40599000
1c0,40651000
b5c0,40819000
b600,40999000
b640,41161000
300,41297000
340,41453000
b680,41613000
b6c0,41829000
d000,41985000
200,42219000
b840,42417000
240,42585000
280,42751000
bdc0,42905000
be00,43059000
2c0,43203000
365c0,43391000
b880,43557000
ae40,43701000
36580,43843000
ae80,44015000
35a80,44185000
35a40,44251000
34e80,44297000
27600,44345000
89c0,44511000
27640,44673000
28a00,44819000
aec0,44979000
36000,45127000
35d00,45301000
af00,45345000
6d00,45505000
af40,45669000
361c0,45827000
af80,45873000
36200,46075000
6d40,46223000
36280,46403000
6d80,46591000
6dc0,46885000
36240,47087000
6e00,47257000
6e40,47485000
362c0,47687000
36300,47861000
6e80,48005000
36340,48247000
6ec0,48429000
b000,48587000
b040,48775000
c1c0,48949000
b080,49115000
34600,49265000
b0c0,49343000
15080,49497000
150c0,49547000
380,49595000
15100,49791000
15200,49897000
15240,50011000
34800,50061000
2ae00,50113000
2ae40,50169000
2d340,50215000
15280,50297000
90c0,50339000
35000,50387000
255c0,50427000
9080,50487000
360c0,50563000
